sim,auroc,auprc
919,0.647918245,0.166209395
920,0.643927772,0.166141293
921,0.642735385,0.167416647
922,0.645336209,0.167088844
923,0.649058867,0.170604861
924,0.647204474,0.164852471
925,0.646309283,0.164439002
926,0.650670448,0.167521023
927,0.646981843,0.164288463
928,0.652126709,0.170020805
929,0.643134678,0.164765027
930,0.645841092,0.166537393
931,0.649668246,0.16999584
932,0.643553114,0.161593964
933,0.647573665,0.165414667
934,0.64632451,0.166679158
935,0.642884867,0.165633245
936,0.646090467,0.168327473
937,0.648897659,0.169074697
938,0.646553663,0.167878425
939,0.645997455,0.163505572
940,0.645949025,0.170321387
941,0.651428627,0.173022837
942,0.645844508,0.167214907
943,0.645761556,0.164461852
944,0.642593739,0.160912483
945,0.649583868,0.166470517
946,0.651966336,0.17018026
947,0.641399841,0.164285507
948,0.646403853,0.167729051
949,0.645022195,0.169120425
950,0.646507935,0.169045127
951,0.647447275,0.170139828
952,0.649812456,0.169910746
953,0.642576439,0.163547411
954,0.647760774,0.169730229
955,0.644057191,0.168252224
956,0.644971678,0.164735438
957,0.649140506,0.169280006
958,0.65094166,0.166089273
959,0.64991479,0.169287041
960,0.645117686,0.166008607
961,0.642709036,0.163162178
962,0.643256345,0.16611866
963,0.643506272,0.169180337
964,0.650182193,0.172117167
965,0.642042505,0.16312281
966,0.647605152,0.165533185
967,0.644086466,0.167252509
968,0.644926237,0.167462902
969,0.653099162,0.17237845
970,0.642389764,0.163969077
971,0.646913117,0.168828635
972,0.648390075,0.166337376
973,0.646939164,0.164274653
974,0.645926543,0.164987796
975,0.648070054,0.164221128
976,0.648138564,0.16694461
977,0.6429178,0.16146775
978,0.648278207,0.166037154
979,0.63981072,0.16009108
980,0.648308984,0.170642993
981,0.647166154,0.169248277
982,0.645934256,0.16505045
983,0.651622259,0.170484695
984,0.649001035,0.16551105
985,0.645154255,0.162640409
986,0.647055231,0.165621433
987,0.646394736,0.162343464
988,0.646898421,0.16877518
989,0.645879612,0.166919512
990,0.64659187,0.165658694
991,0.64739131,0.167062331
992,0.64579191,0.1671976
